Date,Close,Volume,Open,High,Low,compound,negative,neutral,positive,subjectivity,polarity
02-01-2015,27.3325,212575080,27.8475,27.86,26.8375,0.9875,0.041,0.849,0.11,0.527698249,0.14055244
05-01-2015,26.5625,256843520,27.0725,27.1625,26.3525,0.9979,0.033,0.807,0.159,0.447602071,0.12969506
06-01-2015,26.565,262729000,26.635,26.8575,26.1575,0.8779,0.049,0.883,0.068,0.347793727,0.108242671
07-01-2015,26.9375,159933400,26.8,27.05,26.6737,-0.8225,0.076,0.862,0.062,0.410055916,0.125090188
08-01-2015,27.9725,236675040,27.3075,28.0375,27.175,0.9973,0.039,0.828,0.132,0.400756748,0.136964729
09-01-2015,28.0025,214582920,28.1675,28.3125,27.5525,0.9947,0.076,0.787,0.137,0.448581049,0.117748918
12-01-2015,27.3125,198284680,28.15,28.1575,27.2,0.9983,0.081,0.738,0.182,0.474878427,0.234773449
13-01-2015,27.555,267879920,27.8575,28.2,27.2275,0.9991,0.026,0.799,0.175,0.438210227,0.179755141
14-01-2015,27.45,194912760,27.26,27.6225,27.125,0.9601,0.078,0.822,0.1,0.435972563,0.092994472
15-01-2015,26.705,239233880,27.5,27.515,26.665,0.9127,0.08,0.819,0.101,0.519596972,0.090599922
16-01-2015,26.4975,313813320,26.7575,26.895,26.3,0.9892,0.047,0.842,0.111,0.396423116,0.082987717
20-01-2015,27.18,198969280,26.96,27.2417,26.625,0.9932,0.072,0.8,0.128,0.476298318,0.080928587
21-01-2015,27.3875,193931440,27.2375,27.765,27.0675,0.9931,0.031,0.862,0.107,0.4184573,0.067607897
22-01-2015,28.1,214869760,27.565,28.1175,27.43,0.9403,0.064,0.844,0.092,0.399797348,0.046566288
23-01-2015,28.245,185680080,28.075,28.4375,27.8825,0.9982,0.059,0.796,0.144,0.436511405,0.181687063
26-01-2015,28.275,221829680,28.435,28.5907,28.2,0.9989,0.035,0.832,0.133,0.471657883,0.186137462
27-01-2015,27.285,369306560,28.105,28.12,27.2575,0.9952,0.056,0.833,0.111,0.457037638,0.125070647
28-01-2015,28.8275,584737200,29.4063,29.53,28.8275,0.9985,0.03,0.833,0.136,0.455063522,0.145638826
29-01-2015,29.725,336528520,29.08,29.7975,28.89,0.9941,0.047,0.847,0.106,0.416410585,0.151749893
30-01-2015,29.29,334587200,29.6,30,29.2125,0.9965,0.056,0.788,0.156,0.381746753,0.081878788
02-02-2015,29.6575,250169760,29.5125,29.7925,29.02,0.9837,0.039,0.875,0.086,0.372463874,0.132690537
03-02-2015,29.6625,207368320,29.625,29.7725,29.4025,0.8674,0.062,0.85,0.088,0.370519481,0.099206865
04-02-2015,29.89,279900720,29.625,30.1275,29.5772,0.9899,0.048,0.84,0.112,0.485752422,0.129544037
05-02-2015,29.985,168788440,30.005,30.0575,29.8125,0.9869,0.027,0.895,0.078,0.470048209,0.12892562
06-02-2015,29.7325,174534640,30.005,30.0625,29.6125,-0.4019,0.104,0.79,0.107,0.42215175,0.059965938
09-02-2015,29.93,151603120,29.6375,29.96,29.6075,0.9281,0.059,0.855,0.086,0.426062373,0.073598595
10-02-2015,30.505,247381560,30.0425,30.5375,30.04,0.9974,0.034,0.85,0.116,0.389378788,0.17319697
11-02-2015,31.22,293112080,30.6925,31.23,30.625,0.9991,0.03,0.817,0.153,0.44512396,0.217858448
12-02-2015,31.615,297498520,31.515,31.87,31.3925,0.9977,0.101,0.737,0.162,0.417335219,0.140841887
13-02-2015,31.77,215822600,31.82,31.82,31.4125,0.9949,0.048,0.844,0.108,0.438084844,0.150431372
17-02-2015,31.9575,252056440,31.8725,32.22,31.73,0.9985,0.029,0.856,0.115,0.416775314,0.163635109
18-02-2015,32.1788,178783920,31.9063,32.195,31.8625,0.9962,0.046,0.852,0.103,0.427696693,0.166590028
19-02-2015,32.1125,149181840,32.12,32.2575,32.0825,0.9707,0.07,0.842,0.088,0.401583504,0.136080732
20-02-2015,32.3738,195513640,32.155,32.375,32.0125,0.9948,0.063,0.832,0.105,0.379112554,0.147092514
23-02-2015,33.25,292357000,32.505,33.25,32.415,0.9926,0.048,0.855,0.097,0.412955782,0.109620748
24-02-2015,33.0425,276437640,33.235,33.4,32.7925,0.9914,0.035,0.891,0.074,0.395727531,0.164141145
25-02-2015,32.1975,298220480,32.89,32.9,32.0375,0.995,0.123,0.718,0.159,0.37249335,0.111259193
26-02-2015,32.6037,364687320,32.1962,32.7175,31.6525,0.977,0.064,0.849,0.087,0.529902659,0.071493262
27-02-2015,32.115,247725400,32.5,32.6425,32.06,0.6995,0.103,0.782,0.114,0.526290517,0.206319162
02-03-2015,32.2725,192170720,32.3125,32.57,32.075,0.9982,0.028,0.862,0.11,0.394598365,0.147236652
03-03-2015,32.34,150999600,32.24,32.38,32.0225,0.6808,0.064,0.871,0.065,0.343032151,0.109480783
04-03-2015,32.135,126353920,32.275,32.39,32.08,-0.9974,0.12,0.835,0.045,0.432251082,-0.0001924
05-03-2015,31.6025,225565120,32.145,32.1875,31.44,0.998,0.034,0.866,0.1,0.38049994,0.153060366
06-03-2015,31.65,290798720,32.1,32.3425,31.565,0.991,0.066,0.83,0.104,0.470582316,0.094733152
09-03-2015,31.785,353640960,31.99,32.3925,31.265,0.9911,0.033,0.899,0.069,0.421335034,0.126117811
10-03-2015,31.1275,274881440,31.6025,31.805,30.95,0.9878,0.055,0.851,0.093,0.493777943,0.188561848
11-03-2015,30.56,275250760,31.1875,31.1925,30.5275,-0.7822,0.061,0.877,0.062,0.402595834,0.06243334
12-03-2015,31.1125,192933080,30.5775,31.225,30.4075,0.997,0.051,0.838,0.111,0.362736146,0.101751091
13-03-2015,30.8975,206978680,31.1,31.3488,30.645,0.9535,0.068,0.846,0.086,0.451639685,0.158246852
16-03-2015,31.2375,143265200,30.97,31.2375,30.7175,0.991,0.068,0.816,0.116,0.403209333,0.173467239
17-03-2015,31.76,203564920,31.475,31.83,31.4125,0.9912,0.051,0.862,0.087,0.405962179,0.142238077
18-03-2015,32.1175,260472680,31.75,32.29,31.5925,0.9958,0.06,0.816,0.124,0.399940777,0.158770593
19-03-2015,31.8738,182698080,32.1875,32.3113,31.85,0.9458,0.063,0.856,0.08,0.414825379,0.03918169
20-03-2015,31.475,274064720,32.0625,32.1,31.29,0.9923,0.057,0.794,0.149,0.455482456,0.126973684
23-03-2015,31.8025,150390400,31.78,31.9625,31.63,0.9971,0.047,0.829,0.124,0.46813915,0.172100065
24-03-2015,31.6725,130988800,31.8075,32.01,31.64,0.9886,0.048,0.847,0.105,0.403912663,0.034564379
25-03-2015,30.845,206022400,31.635,31.705,30.845,0.9933,0.036,0.853,0.111,0.483251162,0.119306157
26-03-2015,31.06,189638440,30.69,31.22,30.65,0.9941,0.047,0.839,0.113,0.511091871,0.144522006
27-03-2015,30.8125,157886880,31.1425,31.175,30.7275,0.9963,0.062,0.794,0.143,0.441165297,0.123588656
30-03-2015,31.5925,187899920,31.0125,31.6,31,0.9961,0.056,0.805,0.139,0.435278379,0.084285564
31-03-2015,31.1075,168077680,31.5225,31.6225,31.0888,0.9972,0.029,0.853,0.118,0.455758995,0.16658328
01-04-2015,31.0625,161852560,31.205,31.28,30.775,0.9941,0.046,0.836,0.118,0.436144867,0.178132151
02-04-2015,31.33,128685640,31.2575,31.39,31.0475,0.9948,0.045,0.85,0.104,0.469032691,0.179129348
06-04-2015,31.8375,147669960,31.1175,31.8775,31.0825,0.9947,0.038,0.847,0.114,0.346869022,0.139932548
07-04-2015,31.5025,139579240,31.91,32.0305,31.495,0.9862,0.034,0.877,0.088,0.533458647,0.268529278
08-04-2015,31.4,149088360,31.4625,31.6,31.2425,0.9315,0.066,0.855,0.079,0.481576479,0.13367086
09-04-2015,31.64,128977440,31.4625,31.645,31.165,0.9953,0.044,0.86,0.096,0.423380292,0.119003595
10-04-2015,31.775,160503040,31.4875,31.8025,31.315,0.9958,0.047,0.847,0.106,0.501855984,0.246674593
13-04-2015,31.7125,144994480,32.0925,32.1425,31.6525,0.9918,0.036,0.886,0.078,0.492898647,0.070481759
14-04-2015,31.575,101673120,31.75,31.8225,31.4775,0.9952,0.026,0.883,0.09,0.428466811,0.144996392
15-04-2015,31.695,115689680,31.6025,31.7825,31.5025,0.995,0.021,0.887,0.092,0.411237013,0.145824675
16-04-2015,31.5425,112080960,31.57,31.775,31.5275,0.9975,0.02,0.872,0.108,0.435261025,0.092314881
17-04-2015,31.1875,205925240,31.3875,31.535,31.115,-0.0735,0.078,0.862,0.059,0.488588951,0.08262317
20-04-2015,31.9,187900440,31.3925,32.03,31.2925,0.994,0.018,0.845,0.136,0.37711812,0.234393939
21-04-2015,31.7275,129365520,32.025,32.05,31.6675,0.9975,0.04,0.819,0.141,0.451577071,0.194831309
22-04-2015,32.155,150301680,31.7475,32.2175,31.58,0.9926,0.045,0.839,0.116,0.458959676,0.053822912
23-04-2015,32.4175,182386760,32.075,32.605,32.035,0.999,0.025,0.842,0.133,0.461057428,0.159469912
24-04-2015,32.57,176838840,32.6225,32.6575,32.3075,0.8091,0.055,0.885,0.059,0.469050802,0.071524064
27-04-2015,33.1625,380337040,33.0775,33.2825,32.7875,0.9938,0.055,0.838,0.107,0.428637003,0.135427055
28-04-2015,32.64,474774800,33.6138,33.635,32.3925,0.9983,0.054,0.801,0.145,0.428028916,0.162016456
29-04-2015,32.16,252252960,32.54,32.8975,32.075,0.9973,0.061,0.812,0.128,0.396619,0.200879403
30-04-2015,31.2875,331699920,31.875,31.97,31.145,0.9981,0.069,0.792,0.139,0.43039899,0.032834776
01-05-2015,32.2375,229396000,31.525,32.5325,31.325,0.9822,0.05,0.847,0.102,0.432741893,0.121803562
04-05-2015,32.175,203620080,32.375,32.6425,32.065,0.9823,0.045,0.856,0.099,0.47527745,0.206462023
05-05-2015,31.45,196511080,32.0375,32.1125,31.445,0.9686,0.041,0.878,0.082,0.366370224,0.103853755
06-05-2015,31.2525,288149480,31.64,31.6875,30.84,0.9987,0.032,0.812,0.156,0.470899908,0.167742195
07-05-2015,31.315,170615680,31.1925,31.52,31.005,0.9928,0.042,0.837,0.121,0.422092578,0.148550516
08-05-2015,31.905,221895280,31.67,31.905,31.5275,0.9434,0.053,0.858,0.089,0.395515971,0.097174447
11-05-2015,31.58,167682960,31.8475,31.89,31.4063,0.9965,0.03,0.862,0.108,0.366222772,0.07779049
12-05-2015,31.4662,192293800,31.4,31.72,31.205,0.9946,0.023,0.87,0.107,0.341339216,0.156858419
13-05-2015,31.5025,138446400,31.5375,31.7975,31.4675,0.9942,0.044,0.794,0.162,0.473086124,0.126794258
14-05-2015,32.2375,180495680,31.8525,32.2375,31.79,0.9587,0.053,0.863,0.084,0.510349784,0.176796681
15-05-2015,32.1925,152513880,32.2675,32.3725,32.0525,0.9783,0.066,0.831,0.103,0.434239719,0.258143939
18-05-2015,32.5475,202892960,32.095,32.68,32.09,0.9982,0.02,0.851,0.129,0.371584145,0.151968344
19-05-2015,32.5175,177581760,32.6725,32.72,32.41,0.9946,0.059,0.838,0.103,0.410062931,0.160287398
20-05-2015,32.515,145044680,32.5,32.745,32.335,0.9974,0.045,0.816,0.138,0.431870655,0.248345468
21-05-2015,32.8475,158359120,32.5175,32.9075,32.4575,0.9938,0.044,0.826,0.13,0.377741703,0.214835859
22-05-2015,33.135,181877360,32.9,33.2425,32.85,0.9618,0.031,0.904,0.065,0.327068529,0.074791718
26-05-2015,32.405,282178680,33.15,33.2275,32.28,0.996,0.046,0.833,0.121,0.40114899,0.11030303
27-05-2015,33.0112,183084480,32.585,33.065,32.5125,0.9931,0.041,0.852,0.107,0.458271555,0.235755772
28-05-2015,32.945,122715360,32.965,32.9875,32.775,0.9958,0.049,0.833,0.118,0.421786391,0.170313176
29-05-2015,32.57,201896680,32.8075,32.8625,32.475,0.9873,0.037,0.868,0.096,0.443825758,0.069060922
01-06-2015,32.6337,128064080,32.8,32.8475,32.5125,0.9929,0.033,0.864,0.103,0.342526771,0.160828207
02-06-2015,32.49,134383920,32.465,32.6638,32.33,0.9795,0.037,0.88,0.082,0.370111317,0.153085962
03-06-2015,32.53,123759240,32.665,32.735,32.475,-0.9803,0.113,0.808,0.079,0.477458799,0.083187135
04-06-2015,32.34,153343920,32.395,32.645,32.2275,0.9756,0.033,0.894,0.073,0.444151979,0.170406231
05-06-2015,32.1625,142311040,32.375,32.4225,32.09,0.9597,0.072,0.821,0.106,0.43376215,0.052408519
08-06-2015,31.95,210439600,32.225,32.3025,31.7075,0.9878,0.054,0.861,0.085,0.370670262,0.143299949
09-06-2015,31.855,224011360,31.675,32.02,31.405,0.9955,0.071,0.809,0.121,0.435568909,0.140011388
10-06-2015,32.22,156116760,31.98,32.335,31.9625,0.9859,0.042,0.874,0.084,0.423665011,0.129715432
11-06-2015,32.1475,141378080,32.295,32.545,32.1187,0.9689,0.077,0.819,0.104,0.340228257,0.136155057
12-06-2015,31.7925,147305040,32.0463,32.0825,31.7775,0.895,0.06,0.857,0.082,0.489197781,0.171022727
15-06-2015,31.73,175587840,31.525,31.81,31.4275,0.9964,0.039,0.821,0.14,0.455241605,0.181203931
16-06-2015,31.9,125774600,31.7575,31.9625,31.5925,0.4629,0.072,0.848,0.081,0.438773069,0.180673274
17-06-2015,31.825,131435600,31.93,31.97,31.685,-0.7713,0.134,0.745,0.121,0.484581105,0.173217469
18-06-2015,31.97,141455960,31.8075,32.0775,31.805,0.1027,0.051,0.888,0.061,0.335961174,-0.003977273
19-06-2015,31.65,217446120,31.9275,31.955,31.6,0.9375,0.078,0.809,0.112,0.472922078,0.117900433
22-06-2015,31.9025,135904720,31.8725,32.015,31.77,0.9954,0.07,0.765,0.165,0.520435606,0.146609848
23-06-2015,31.7575,120768560,31.87,31.9025,31.7198,0.9915,0.053,0.818,0.129,0.580172176,0.14827135
24-06-2015,32.0275,220310080,31.8025,32.45,31.78,0.9985,0.016,0.83,0.154,0.360721264,0.143207662
25-06-2015,31.875,127489560,32.215,32.3,31.875,0.9686,0.04,0.871,0.09,0.385332492,0.173632155
26-06-2015,31.6875,175945160,31.9175,31.9975,31.6275,0.9923,0.015,0.839,0.146,0.431047619,0.180571429
29-06-2015,31.1325,196173640,31.365,31.6175,31.12,0.988,0.036,0.851,0.112,0.372848485,0.177287879
30-06-2015,31.3562,177304200,31.3925,31.53,31.215,0.9733,0.067,0.843,0.09,0.346282267,0.07252385
01-07-2015,31.65,120827560,31.725,31.735,31.4975,0.9842,0.066,0.805,0.13,0.399957213,0.171806101
02-07-2015,31.61,108684720,31.6075,31.6725,31.4425,0.9841,0.034,0.859,0.106,0.448877005,0.167290553
06-07-2015,31.5,111891800,31.235,31.5575,31.2125,0.5423,0.058,0.878,0.064,0.482007576,0.289908009
07-07-2015,31.4225,186948360,31.4725,31.5375,30.9425,0.9271,0.052,0.845,0.103,0.41368266,0.125711279
08-07-2015,30.6425,242439320,31.12,31.16,30.635,0.9975,0.035,0.837,0.128,0.405357744,0.10702862
09-07-2015,30.0175,313166040,30.9625,31.015,29.805,0.9977,0.082,0.741,0.177,0.420873918,0.105607413
10-07-2015,30.82,245171200,30.485,30.9625,30.3025,-0.8914,0.084,0.837,0.079,0.348699826,0.064136997
13-07-2015,31.415,165462400,31.2575,31.4387,31.08,0.9946,0.023,0.867,0.11,0.383328446,0.11755132
14-07-2015,31.4025,126783480,31.51,31.5925,31.26,0.9725,0.029,0.849,0.122,0.39442959,0.176024955
15-07-2015,31.705,134239080,31.43,31.7875,31.395,0.9972,0.023,0.814,0.163,0.503500046,0.254089527
16-07-2015,32.1275,143950520,31.935,32.1425,31.8375,0.9688,0.042,0.867,0.091,0.396876704,0.138751002
17-07-2015,32.405,183881880,32.27,32.405,32.0775,0.9978,0.045,0.79,0.165,0.400493713,0.142954803
20-07-2015,33.0175,220819680,32.7425,33.2425,32.675,0.9973,0.023,0.87,0.108,0.428700552,0.104104717
21-07-2015,32.6875,292027120,33.2125,33.23,32.58,0.9955,0.069,0.807,0.123,0.37114899,0.04553089
22-07-2015,31.305,461153600,30.4975,31.375,30.4975,-0.9893,0.099,0.839,0.061,0.392488604,0.003781935
23-07-2015,31.29,203331800,31.55,31.7725,31.265,0.9981,0.045,0.788,0.167,0.463375753,0.135074576
24-07-2015,31.125,168361280,31.33,31.435,30.975,0.9822,0.048,0.833,0.119,0.357190912,0.132769882
27-07-2015,30.6925,177486320,30.7725,30.9025,30.53,0.997,0.022,0.832,0.147,0.351603621,0.285958222
28-07-2015,30.845,134281520,30.845,30.9775,30.6375,0.7589,0.102,0.794,0.103,0.486363636,0.055318182
29-07-2015,30.7475,147648160,30.7875,30.875,30.5675,0.9765,0.02,0.868,0.112,0.425330688,0.104034392
30-07-2015,30.5925,133603800,30.58,30.6425,30.4275,0.9705,0.089,0.767,0.144,0.365414972,-0.031730727
31-07-2015,30.325,171331560,30.65,30.6606,30.2275,0.9571,0.064,0.839,0.097,0.483799534,0.132575758
03-08-2015,29.61,278559600,30.375,30.6425,29.38,0.9868,0.045,0.859,0.097,0.433378678,0.096377966
04-08-2015,28.66,494407600,29.355,29.425,28.3125,0.9951,0.063,0.814,0.123,0.426337317,0.198844075
05-08-2015,28.85,396809600,28.2375,29.36,28.025,0.9947,0.074,0.798,0.128,0.406313131,0.132366522
06-08-2015,28.7825,211315560,28.9925,29.125,28.5287,0.9698,0.048,0.866,0.086,0.406094276,0.215050505
07-08-2015,28.88,154440480,28.645,29.0625,28.625,-0.3637,0.09,0.811,0.099,0.451087405,0.038191868
10-08-2015,29.93,219404040,29.1325,29.9975,29.1325,0.9612,0.022,0.91,0.069,0.4290597,0.079766938
11-08-2015,28.3725,387282680,29.4525,29.545,28.3325,-0.9597,0.108,0.816,0.076,0.403291027,0.030711334
12-08-2015,28.81,406373600,28.1325,28.855,27.4075,0.5994,0.077,0.844,0.079,0.485085227,-0.00772964
13-08-2015,28.7875,193630560,29.01,29.1,28.635,0.9949,0.039,0.858,0.103,0.395179595,0.128492453
14-08-2015,28.99,171505480,28.58,29.0775,28.5025,-0.015,0.112,0.782,0.106,0.386494755,0.098863636
17-08-2015,29.29,163309040,29.01,29.4125,28.875,0.9882,0.055,0.828,0.117,0.310078053,0.150321396
18-08-2015,29.125,138102520,29.1075,29.36,29.0025,0.9758,0.071,0.801,0.128,0.455874381,0.200648376
19-08-2015,28.7525,192317320,29.025,29.13,28.67,0.9899,0.021,0.852,0.126,0.517649711,0.221579636
20-08-2015,28.1625,272707760,28.52,28.5875,27.9075,0.9006,0.077,0.806,0.118,0.416872294,0.044788961
21-08-2015,26.44,508986400,27.6075,27.975,26.4112,0.9794,0.037,0.863,0.1,0.477294147,0.021366567
24-08-2015,25.78,647530000,23.7175,27.2,23,0.9968,0.064,0.81,0.126,0.492800312,0.162003845
25-08-2015,25.935,410926800,27.7775,27.7775,25.875,0.9973,0.037,0.824,0.138,0.450710445,0.205885177
26-08-2015,27.4225,386127560,26.7712,27.4725,26.2625,0.9838,0.083,0.75,0.167,0.370300752,0.183834586
27-08-2015,28.23,335300880,28.0575,28.31,27.505,0.9933,0.042,0.859,0.099,0.416232804,0.072560847
28-08-2015,28.3225,212303840,28.0425,28.3275,27.885,-0.6593,0.083,0.848,0.069,0.506479477,-0.022800425
31-08-2015,28.19,224446360,28.0075,28.6325,28,0.9943,0.05,0.831,0.119,0.428745362,0.146757112
01-09-2015,26.93,306248680,27.5375,27.97,26.84,0.9093,0.084,0.805,0.111,0.445302471,0.174505834
02-09-2015,28.085,246725000,27.5575,28.085,27.2828,-0.2263,0.046,0.908,0.046,0.287518665,0.050846352
03-09-2015,27.5925,212570360,28.1225,28.195,27.51,0.9958,0.024,0.852,0.124,0.380380072,0.122560349
